,Unnamed: 0,clear_street,id,district
111,271,город Москва 78-й километр Московской Кольцевой Автодороги,1,
112,272,город Москва 8-й проезд Марьиной Рощи,1, район Марьина Роща
113,273,город Москва 8-я улица Соколиной Горы,1, район Соколиная Гора
114,275,город Москва 80-й километр Московской Кольцевой Автодороги,1,
115,286,город Москва Авиационный переулок,1, район Аэропорт
116,288,город Москва Автомобильный проезд,1, Нижегородский район
117,294,город Москва Алымов переулок,1, район Богородское
118,300,город Москва Андреево-Забелинская улица,1, район Богородское
119,301,город Москва Андроньевская площадь,1, Таганский район
120,302,город Москва Анненская улица,1, район Марьина Роща
121,303,город Москва Анненский проезд,1, район Марьина Роща
122,305,город Москва Армавирская улица,1, район Люблино
123,308,город Москва Архангельский переулок,1, Басманный район
124,309,город Москва Астрадамский проезд,1, Тимирязевский район
125,311,город Москва Ащеулов переулок,1, Красносельский район
126,313,город Москва Аэрофлотская улица,1, район Внуково
127,314,город Москва Бабаевская улица,1, район Сокольники
128,316,город Москва Базовая улица,1, район Внуково
129,322,город Москва Балтийская улица,1, район Аэропорт
130,323,город Москва Банный проезд,1, Мещанский район
131,324,город Москва Барабанный переулок,1, район Соколиная Гора
132,327,город Москва Басовская улица,1, Нижегородский район
133,339,город Москва Берниковская набережная,1, Таганский район
134,345,город Москва Бескудниковский переулок,1, Бескудниковский район
135,346,город Москва Бескудниковский проезд,1, Бескудниковский район
136,263,город Москва 7-й Ростовский переулок,1, район Хамовники
137,262,город Москва 67-й километр Московской Кольцевой Автодороги,1,
138,261,город Москва 65-й километр Московской Кольцевой Автодороги,1,
139,230,город Москва 4-й Кожевнический переулок,1, Даниловский район
140,210,город Москва 3-я Железногорская улица,1, район Южное Бутово
141,212,город Москва 3-я Новоостанкинская улица,1, Останкинский район
142,214,город Москва 3-я Песчаная улица,1, район Сокол
143,215,город Москва 3-я Подрезковская улица,1, Молжаниновский район
144,217,город Москва 3-я Северная линия,1, район Северный
145,221,город Москва 3-я Черепковская улица,1, район Кунцево
146,223,город Москва 30-й километр Московской Кольцевой Автодороги,1,
147,224,город Москва 31-й километр Московской Кольцевой Автодороги,1,
148,226,город Москва 34-й километр Московской Кольцевой Автодороги,1,
149,227,город Москва 38-й километр Московской Кольцевой Автодороги,1,
150,228,город Москва 4-й Вешняковский проезд,1, Рязанский район
151,229,город Москва 4-й Вятский переулок,1, Савёловский район
152,234,город Москва 4-й Рощинский проезд,1, Даниловский район
153,260,город Москва 6-я улица Новые Сады,1, район Ново-Переделкино
154,236,город Москва 4-я Гражданская улица,1, район Богородское
155,237,город Москва 4-я Кабельная улица,1, район Лефортово
156,241,город Москва 42-й километр Московской Кольцевой Автодороги,1,
157,243,город Москва 5-й Котельнический переулок,1, Таганский район
158,244,город Москва 5-й Монетчиковский переулок,1, район Замоскворечье
159,245,город Москва 5-й Рощинский проезд,1, Даниловский район
160,247,город Москва 5-й проезд Марьиной Рощи,1, район Марьина Роща
161,248,город Москва 5-й проезд Подбельского,1, район Богородское
162,255,город Москва 56-й километр Московской Кольцевой Автодороги,1,
163,256,город Москва 6-й Лучевой просек,1, район Сокольники
164,257,город Москва 6-я Кожуховская улица,1, Южнопортовый район
165,259,город Москва 6-я улица Лазенки,1, район Ново-Переделкино
166,348,город Москва Библиотечная улица,1, Таганский район
167,354,город Москва Богоявленский переулок,1, Тверской район
168,358,город Москва Больничный переулок,1, Мещанский район
169,511,город Москва Гольяновская улица,1, Басманный район
170,489,город Москва Выползов переулок,1, Мещанский район
171,490,город Москва Высокая улица,1, район Нагатино-Садовники
172,492,город Москва Вяземская улица,1, Можайский район
173,495,город Москва Газгольдерная улица,1, Нижегородский район
174,498,город Москва Гаражная улица,1, район Соколиная Гора
175,499,город Москва Гвардейская улица,1, Можайский район
176,500,город Москва Гжатская улица,1, Можайский район
177,501,город Москва Гжельский переулок,1, Таганский район
178,503,город Москва Глазовский переулок,1, район Арбат
179,504,город Москва Глебовская улица,1, район Богородское
180,505,город Москва Глинистый переулок,1, Мещанский район
181,506,город Москва Глинищевский переулок,1, Тверской район
182,512,город Москва Гончарная набережная,1, Таганский район
183,482,город Москва Воротниковский переулок,1, Тверской район
184,515,город Москва Городская улица,1, Даниловский район
185,517,город Москва Госпитальный переулок,1, Басманный район
186,521,город Москва Гранатный переулок,1, Пресненский район
187,523,город Москва Гродненская улица,1, Можайский район
188,529,город Москва Дегтярный переулок,1, Тверской район
189,531,город Москва Делегатская улица,1, Тверской район
190,533,город Москва Денежный переулок,1, район Хамовники
191,538,город Москва Дивизионная улица,1, район Внуково
192,539,город Москва Дмитровский переулок,1, Тверской район
193,546,город Москва Докучаев переулок,1, Красносельский район
194,563,город Москва Егорьевский проезд,1, район Люблино
195,565,город Москва Елоховский проезд,1, Басманный район
196,486,город Москва Врачебный проезд,1, район Покровское-Стрешнево
197,475,город Москва Волоцкой переулок,1, район Митино
198,362,город Москва Большая Бутовская улица,1, район Южное Бутово
199,419,город Москва Большой Трёхсвятительский переулок,1, Басманный район
200,363,город Москва Большая Внуковская улица,1, район Внуково
201,388,город Москва Большая Ширяевская улица,1, район Сокольники
202,389,город Москва Большая Юшуньская улица,1, район Зюзино
203,390,город Москва Большой Афанасьевский переулок,1, район Арбат
204,394,город Москва Большой Знаменский переулок,1, район Хамовники
205,395,город Москва Большой Казённый переулок,1, Басманный район
206,397,город Москва Большой Кисельный переулок,1, Мещанский район
207,403,город Москва Большой Николопесковский переулок,1, район Арбат
208,407,город Москва Большой Полуярославский переулок,1, Таганский район
209,408,город Москва Большой Предтеченский переулок,1, Пресненский район
210,411,город Москва Большой Симоновский переулок,1, Таганский район
211,414,город Москва Большой Строченовский переулок,1, район Замоскворечье
212,424,город Москва Боровая улица,1, район Лефортово
213,469,город Москва Винницкая улица,1, район Раменки
214,425,город Москва Боровский проезд,1, район Солнцево
215,428,город Москва Ботанический переулок,1, Мещанский район
216,432,город Москва Бродников переулок,1, район Якиманка
217,433,город Москва Брошевский переулок,1, Таганский район
218,436,город Москва Будайская улица,1, район Ростокино
219,437,город Москва Будайский проезд,1, район Ростокино
220,442,город Москва Бутиковский переулок,1, район Хамовники
221,444,город Москва Вагоноремонтная улица,1, Дмитровский район
222,447,город Москва Варсонофьевский переулок,1, Мещанский район
223,455,город Москва Вербная улица,1, район Метрогородок
224,458,город Москва Верхний Золоторожский переулок,1, район Лефортово
225,463,город Москва Верхняя улица,1, район Беговой
226,207,город Москва 3-й проезд Подбельского,1, район Богородское
227,204,город Москва 3-й Стрелецкий проезд,1, район Марьина Роща
228,571,город Москва Живарев переулок,1, Красносельский район
229,201,город Москва 3-й Павловский переулок,1, Даниловский район
230,37,Таганская улица дом 19,1, Таганский район
231,38,Тушинская улица дом 16,1, район Покровское-Стрешнево
232,39,Чертановская улица владение 32Б,1, район Чертаново Центральное
233,40,Шарикоподшипниковская улица дом 5,1, Южнопортовый район
234,41,Школьная улица дом 48,1,
235,44,город Москва 1-й Балтийский переулок,1, район Аэропорт
236,45,город Москва 1-й Басманный переулок,1, Красносельский район
237,46,город Москва 1-й Ботанический проезд,1, район Свиблово
238,49,город Москва 1-й Вешняковский проезд,1, Рязанский район
239,51,город Москва 1-й Голутвинский переулок,1, район Якиманка
240,55,город Москва 1-й Зачатьевский переулок,1, район Хамовники
241,57,город Москва 1-й Кирпичный переулок,1, район Соколиная Гора
242,58,город Москва 1-й Кожевнический переулок,1, Даниловский район
243,59,город Москва 1-й Кожуховский проезд,1, Даниловский район
244,60,город Москва 1-й Коптельский переулок,1, Мещанский район
245,61,город Москва 1-й Котельнический переулок,1, Таганский район
246,64,город Москва 1-й Краснокурсантский проезд,1, район Лефортово
247,65,город Москва 1-й Курьяновский проезд,1, район Печатники
248,66,город Москва 1-й Лучевой просек,1, район Сокольники
249,67,город Москва 1-й Люсиновский переулок,1, район Замоскворечье
250,68,город Москва 1-й Магистральный тупик,1, Хорошёвский район
251,70,город Москва 1-й Монетчиковский переулок,1, район Замоскворечье
252,73,город Москва 1-й Николощеповский переулок,1, район Арбат
253,74,город Москва 1-й Новокузнецкий переулок,1, район Замоскворечье
254,75,город Москва 1-й Обыденский переулок,1, район Хамовники
255,76,город Москва 1-й Рижский переулок,1, Алексеевский район
256,77,город Москва 1-й Саратовский проезд,1, район Текстильщики
